Richard Hannay,39 steps
Gideon Wyeth,Advent Rising
Leonhart Raglan,Agarest Generations of War
Akane,Akane the Kunoichi
Alan Wake,Alan Wake
unnamed player character,And Yet it Moves
Young,Anodyne
The Kid,Bastion
Batman,Batman: Arkham Asylum
Batman,Batman: Arkham City
Dan Marshall,Binary Domain
Jack,Bioshock
Subject Delta/Johnny Topside,Bioshock 2
Booker Dewitt,Bioshock Infinite
Rayne,Bloodrayne: Betrayal
Tim,Braid
unnamed player character,The Bridge
Naiee and Naia,Brothers: A Tale of two sons
Eddie Riggs,Brutal Legend
William James Carter,The Bureau: XCOM declasified
Ray McCall,Call of Jaurez
Unnamed player character,Canabalt
unnamed player character,Capsized
Cargo Commander,Cargo Commander
Gabriel Belmont,Castlevania: Lords of Shadow - Mirror of Fate
Dracula,Castlevania: Lords of Shadow 2
Susan Ashworth,The Cat Lady
Quote,Cave Story
Elise,Chantelise
Aurora,Child of Light
Claire,Claire
unnamed player character,Counter Strike
unnamed player character,Counter Strike: Condition Zero
unnamed player character,Counter Strike: Condition Zero Deleted Scences
Cadence,Crypt of the Necrodancer
Alcatraz,Crysis 2
unnamed player character,Cubicle Quest
Denz de bayle,The Cursed Crusade
Eric Bane,DARK
The inspector,Dark Fall: Lost Souls
Rusty,Dark Void Zero
unnamed player character,Darkest Hour: Europe 44-45
Jackie Estacado,The Darkness II
War,Darksiders
Death,Darksiders II
Garry Friedman,Day One: Garry's Incident
unnamed player character,Dead Horder
Isaac Clarke,Dead Space
Isaac Clarke,Dead Space 2
,Dead Sky
Randall Wayne,Deadlight
Francis Morgan,Deadly Premonition
unnamed player character,Dear Esther
Crusader,Deep Dungeons of Doom
Kara,Defy Gravity
William Redmoor,Dementium II HD
Cairon,Demonicon
Rufus,Deponia
Adam Jenson,Deus Ex: Human Revolution
Nero/Dante,Devil May Cry 4
Wilson,Don't Starve
Duke Nukem,Duke Nukem 3D: Megaton Edition
,Elegy for a Dead World
Monkey,Enslaved Odyssey to the West
Point Man,F.E.A.R.
Point Man,F.E.A.R.: Persues Mandate
Michael Becket,F.E.A.R. 2: Projec Origin
Point Man,F.E.A.R. 3
A.R.I.D.,The Fall
Rex,Farcry 3: Blood Dragon
The Little Girl,Finding Teddy
Unnamed player character,Go! Go! Nippon! ~ My First Trip to Japan
Kaitlin,Gone Home
Juan Aguacate,Guacamelee
Conway,Gunpoint
Alice,Hack N' Slash
The Hero,Half Minute Hero: Super Mega Neo Climax Ultimate Boy
Gordon Freeman,Half-Life
Gordon Freeman,Half Life 2
Barney Calhoun,Half Life 2: Blue Shift
Adrian Shepherd,Half Life Opposing Force
Hiyoko Tosaka,Hatoful Boyfriend
,Homefront
,Hotline Miami
,Insurgency
,Intrusion 2
,Jazzpunk
Joe Danger,Joe Danger 2: The Movie
Lone Wolf,Joe Dever's Lone Wolf HD Remastered
,Just Cause 2
Korra,Legend of Korra
,LIMBO
,LISA
,Lone Survivor: The Director's Cut
,Long Live the Queen
,Lords of the Fallen
,Mafia II
,Magicka
,Mark fo the Ninja
Marlow Briggs,Marlow Briggs
,Mind: Path to Thalamus
Faith,Mirror's Edge
Unnamed player character,The Novelist
Abe,Oddworld: Abe's Oddysee
,OlliOlli
The Hero,Orcs Must Die!
,"Papers, Please"
,Papo & Yo
,Portal
,Proteus
Raz/Rasputin,Psychonauts
,Risk of Rain
,Rochard
,Scribblenauts Unlimited
,Sega BASS Fishing
Sam,Serious Sam HD: The Second Encounter
,Shadwo Warrier Classic: Redux
Shantae,Shantae: Risky's Revenge - Director's Cut
,Space Channel 5: Part 2
Stanley,Stanley Parable
,Star Wars: Republic Commando
,Star Wars: The Force Unleashed Ultimate Edition
,Star Wars: The Force Unleashed 2
,Steamworld DIg
,Stick it to the Man
Strider Hiyru,Strider
Styx,Styx: Master of Shadows
,Surgeon Simulater
,The Swapper
,Tales from Space: Mutant Blobs Attack
,teleglitch: Die More Edition
,Tesla Effect
,Teslagrad
Garret,Thief (2014)
Tiny,Tiny and Big
Lara Croft,Tomb Raider (2013)
,Tower of Guns
,Vessel
,Viking
Volgarr,Volgarr the Viking
,Watch_Dogs
,WORLD END ECONOMICA episode.01
,X-COM: Enforcer
,Year Walk
